Condition  Subject  Replication  Time    Moment 
    1    1    1    0.2910    9.0581
    1    1    1    0.2949    8.6831
    1    1    1    0.2988   13.3031
    1    1    1    0.3027   13.9124
    1    1    1    0.3066   10.6460
    1    1    1    0.3105    9.5957
    1    1    1    0.3145    6.5054
    1    1    1    0.3184   11.2174
    1    1    1    0.3223   14.9264
    1    1    1    0.3262   12.0709
    1    1    1    0.3301   16.2008
    1    1    1    0.3340   12.7040
    1    1    1    0.3379    8.8111
    1    1    1    0.3418   16.7104
    1    1    1    0.3457   12.6654
    1    1    1    0.3496   12.9099
    1    1    1    0.3535   11.3453
    1    1    1    0.3574   16.5247
    1    1    1    0.3613   14.1769
    1    1    1    0.3652   11.2255
    1    1    1    0.3691   18.1462
    1    1    1    0.3730   20.5074
    1    1    1    0.3770   13.8483
    1    1    1    0.3809   11.0617
    1    1    1    0.3848   14.3262
    1    1    1    0.3887   15.5887
    1    1    1    0.3926   20.2133
    1    1    1    0.3965   18.8988
    1    1    1    0.4004   21.3769
    1    1    1    0.4043   20.8053
    1    1    1    0.4082   19.1413
    1    1    1    0.4121   16.3838
    1    1    1    0.4160   18.2116
    1    1    1    0.4199   16.7728
    1    1    1    0.4238   17.9472
    1    1    1    0.4277   19.4449
    1    1    1    0.4316   19.1652
    1    1    1    0.4355   18.7010
    1    1    1    0.4395   23.7576
    1    1    1    0.4434   22.5718
    1    1    1    0.4473   24.5132
    1    1    1    0.4512   23.3192
    1    1    1    0.4551   19.5513
    1    1    1    0.4590   21.8182
    1    1    1    0.4629   21.2075
    1    1    1    0.4668   24.6495
    1    1    1    0.4707   18.3241
    1    1    1    0.4746   24.8708
    1    1    1    0.4785   28.4697
    1    1    1    0.4824   21.6985
    1    1    1    0.4863   24.0773
    1    1    1    0.4902   28.7681
    1    1    1    0.4941   27.5908
    1    1    1    0.4980   27.2783
    1    1    1    0.5020   31.2132
    1    1    1    0.5059   29.8121
    1    1    1    0.5098   26.7781
    1    1    1    0.5137   24.5183
    1    1    1    0.5176   25.0433
    1    1    1    0.5215   23.5408
    1    1    1    0.5254   32.9685
    1    1    1    0.5293   21.9319
    1    1    1    0.5332   30.9191
    1    1    1    0.5371   22.5896
    1    1    1    0.5410   23.4743
    1    1    1    0.5449   29.1329
    1    1    1    0.5488   26.2187
    1    1    1    0.5527   26.9050
    1    1    1    0.5566   26.5903
    1    1    1    0.5605   21.9749
    1    1    1    0.5645   22.4984
    1    1    1    0.5684   24.0384
    1    1    1    0.5723   22.7142
    1    1    1    0.5762   25.1963
    1    1    1    0.5801   21.1584
    1    1    1    0.5840   17.2410
    1    1    1    0.5879   19.2901
    1    1    1    0.5918   13.5525
    1    1    1    0.5957   20.2236
    1    1    1    0.5996   17.5190
    1    1    1    0.6035   15.9178
    1    1    1    0.6074   16.9405
    1    1    1    0.6113   19.7905
    1    1    1    0.6152   19.3531
    1    1    1    0.6191   18.2364
    1    1    1    0.6230   20.0055
    1    1    1    0.6270    9.5293
    1    1    1    0.6309   19.5417
    1    1    1    0.6348   24.2430
    1    1    1    0.6387   14.2081
    1    1    1    0.6426   17.8032
    1    1    1    0.6465   19.8498
    1    1    1    0.6504   19.8471
    1    1    1    0.6543   23.7360
    1    1    1    0.6582   16.4839
    1    1    1    0.6621   23.1212
    1    1    1    0.6660   21.3103
    1    1    1    0.6699   22.0363
    1    1    1    0.6738   22.0411
    1    1    1    0.6777   16.1016
    1    1    1    0.6816   20.4721
    1    1    1    0.6855   20.8149
    1    1    1    0.6895   16.7933
    1    1    1    0.6934   15.1215
    1    1    1    0.6973   24.0397
    1    1    1    0.7012   16.9714
    1    1    1    0.7051   14.5061
    1    1    1    0.7090   14.1901
    1    1    1    0.7129   10.7220
    1    1    1    0.7168   13.0563
    1    1    1    0.7207   15.1831
    1    1    1    0.7246    2.5844
    1    1    1    0.7285    7.5902
    1    1    1    0.7324    4.1539
    1    1    1    0.7363   12.7113
    1    1    1    0.7402   -3.1906
    1    1    1    0.7441    4.5230
    1    1    1    0.7480    3.1912
    1    1    1    0.7520    2.7123
    1    1    1    0.7559   -3.2054
    1    1    1    0.7598   -1.4097
    1    1    1    0.7637   -0.2708
    1    1    1    0.7676   -6.4709
    1    1    1    0.7715   -8.3012
    1    1    1    0.7754   -6.0206
    1    1    1    0.7793   -9.1697
    1    1    1    0.7832  -14.8512
    1    1    1    0.7871  -11.4700
    1    1    1    0.7910   -6.7381
    1    1    1    0.7949   -8.0510
    1    1    1    0.7988   -6.5167
    1    1    1    0.8027  -11.2230
    1    1    1    0.8066  -14.8468
    1    1    1    0.8105   -6.3270
    1    1    1    0.8145  -12.0765
    1    1    1    0.8184  -11.9069
    1    1    1    0.8223   -9.2903
    1    1    1    0.8262  -13.5728
    1    1    1    0.8301  -10.9265
    1    1    1    0.8340  -10.2306
    1    1    1    0.8379   -7.5576
    1    1    1    0.8418   -2.5358
    1    1    1    0.8457   -9.7800
    1    1    1    0.8496   -7.8070
    1    1    1    0.8535   -4.9734
    1    1    1    0.8574   -4.4428
    1    1    1    0.8613   -6.7665
    1    1    1    0.8652   -9.9163
    1    1    1    0.8691  -10.0956
    1    1    1    0.8730   -6.1533
    1    1    1    0.8770   -0.1758
    1    1    1    0.8809  -10.6834
    1    1    1    0.8848   -8.7607
    1    1    1    0.8887   -6.0018
    1    1    1    0.8926  -13.1572
    1    1    1    0.8965   -8.1714
    1    1    1    0.9004   -6.2412
    1    1    1    0.9043   -8.5372
    1    1    1    0.9082   -2.3722
    1    1    1    0.9121   -9.4360
    1    1    1    0.9160   -7.4043
    1    1    1    0.9199  -10.2212
    1    1    1    0.9238   -0.4743
    1    1    1    0.9277   -8.4982
    1    1    1    0.9316    1.4235
    1    1    1    0.9355   -2.2923
    1    1    1    0.9395   -4.9155
    1    1    1    0.9434   -5.2560
    1    1    1    0.9473   -4.8234
    1    1    1    0.9512   -8.8871
    1    1    1    0.9551    0.3604
    1    1    1    0.9590  -10.5269
    1    1    1    0.9629   -4.8797
    1    1    1    0.9668   -9.5304
    1    1    1    0.9707   -8.7543
    1    1    1    0.9746   -7.8648
    1    1    1    0.9785  -11.7039
    1    1    1    0.9824   -6.1824
    1    1    1    0.9863   -0.9386
    1    1    1    0.9902   -1.2761
    1    1    1    0.9941   -7.4333
    1    1    1    0.9980   -9.6326
    1    1    2    0.0020    6.9871
    1    1    2    0.0059    7.4573
    1    1    2    0.0098   10.2785
    1    1    2    0.0137    5.5595
    1    1    2    0.0176    8.3118
    1    1    2    0.0215   11.4446
    1    1    2    0.0254   12.3847
    1    1    2    0.0293   14.1456
    1    1    2    0.0332   10.9285
    1    1    2    0.0371   15.2268
    1    1    2    0.0410   22.4403
    1    1    2    0.0449   20.9681
    1    1    2    0.0488   14.2599
    1    1    2    0.0527   14.3955
    1    1    2    0.0566   16.5006
    1    1    2    0.0605   17.3361
    1    1    2    0.0645   19.8408
    1    1    2    0.0684   20.9740
    1    1    2    0.0723   24.0020
    1    1    2    0.0762   20.6700
    1    1    2    0.0801   17.3390
    1    1    2    0.0840   15.3936
    1    1    2    0.0879   18.8511
    1    1    2    0.0918   17.4833
    1    1    2    0.0957   17.3580
    1    1    2    0.0996   17.8076
    1    1    2    0.1035   12.1602
    1    1    2    0.1074   19.7087
    1    1    2    0.1113   25.8241
    1    1    2    0.1152   19.3477
    1    1    2    0.1191   22.1717
    1    1    2    0.1230   19.7789
    1    1    2    0.1270   18.1485
    1    1    2    0.1309   19.2846
    1    1    2    0.1348   25.6265
    1    1    2    0.1387   22.3257
    1    1    2    0.1426   18.1729
    1    1    2    0.1465   19.4772
    1    1    2    0.1504   18.8158
    1    1    2    0.1543   20.7575
    1    1    2    0.1582   23.4817
    1    1    2    0.1621   24.5130
    1    1    2    0.1660   21.8139
    1    1    2    0.1699   24.5338
    1    1    2    0.1738   27.2361
    1    1    2    0.1777   21.0688
    1    1    2    0.1816   21.2116
    1    1    2    0.1855   20.4216
    1    1    2    0.1895   24.8416
    1    1    2    0.1934   19.9942
    1    1    2    0.1973   19.1907
    1    1    2    0.2012   14.9578
    1    1    2    0.2051   24.5335
    1    1    2    0.2090   25.6789
    1    1    2    0.2129   27.0752
    1    1    2    0.2168   18.5779
    1    1    2    0.2207   25.2223
    1    1    2    0.2246   23.5300
    1    1    2    0.2285   21.5064
    1    1    2    0.2324   19.2844
    1    1    2    0.2363   19.7722
    1    1    2    0.2402   22.1093
    1    1    2    0.2441   24.7649
    1    1    2    0.2480   23.4095
    1    1    2    0.2520   18.8955
    1    1    2    0.2559   17.8049
    1    1    2    0.2598   24.8244
    1    1    2    0.2637   23.6248
    1    1    2    0.2676   26.3505
    1    1    2    0.2715   22.9590
    1    1    2    0.2754   23.4780
    1    1    2    0.2793   26.2799
    1    1    2    0.2832   19.0081
    1    1    2    0.2871   15.2398
    1    1    2    0.2910   19.4416
    1    1    2    0.2949   17.1844
    1    1    2    0.2988   19.4085
    1    1    2    0.3027   24.3219
    1    1    2    0.3066   22.8484
    1    1    2    0.3105   21.8959
    1    1    2    0.3145   24.0245
    1    1    2    0.3184   22.7445
    1    1    2    0.3223   16.5681
    1    1    2    0.3262   18.3473
    1    1    2    0.3301   19.3290
    1    1    2    0.3340   23.5756
    1    1    2    0.3379   18.2186
    1    1    2    0.3418   20.7632
    1    1    2    0.3457   14.2948
    1    1    2    0.3496   15.0090
    1    1    2    0.3535   20.4794
    1    1    2    0.3574   21.7628
    1    1    2    0.3613   15.1186
    1    1    2    0.3652   19.7793
    1    1    2    0.3691   16.8895
    1    1    2    0.3730   21.6659
    1    1    2    0.3770   21.1384
    1    1    2    0.3809   18.6737
    1    1    2    0.3848   16.1140
    1    1    2    0.3887   23.7263
    1    1    2    0.3926   17.9191
    1    1    2    0.3965   22.0509
    1    1    2    0.4004   12.0131
    1    1    2    0.4043   16.4188
    1    1    2    0.4082   18.0705
    1    1    2    0.4121   14.5862
    1    1    2    0.4160   13.9994
    1    1    2    0.4199   16.6328
    1    1    2    0.4238   16.9032
    1    1    2    0.4277   22.0272
    1    1    2    0.4316   12.3957
    1    1    2    0.4355   13.0011
    1    1    2    0.4395   16.3991
    1    1    2    0.4434   14.5582
    1    1    2    0.4473   14.2056
    1    1    2    0.4512   19.3531
    1    1    2    0.4551   24.2916
    1    1    2    0.4590   18.0600
    1    1    2    0.4629   11.8294
    1    1    2    0.4668   19.0065
    1    1    2    0.4707   12.0598
    1    1    2    0.4746   17.1776
    1    1    2    0.4785   15.6133
    1    1    2    0.4824   20.7527
    1    1    2    0.4863   18.5641
    1    1    2    0.4902   22.9883
    1    1    2    0.4941   21.3511
    1    1    2    0.4980   25.1960
    1    1    2    0.5020   23.3795
    1    1    2    0.5059   21.1483
    1    1    2    0.5098   24.7042
    1    1    2    0.5137   22.6423
    1    1    2    0.5176   25.2597
    1    1    2    0.5215   19.1996
    1    1    2    0.5254   19.7511
    1    1    2    0.5293   22.4736
    1    1    2    0.5332   21.7972
    1    1    2    0.5371   15.4838
    1    1    2    0.5410   21.7630
    1    1    2    0.5449   18.5043
    1    1    2    0.5488   18.2035
    1    1    2    0.5527   18.0324
    1    1    2    0.5566   18.4933
    1    1    2    0.5605   21.0560
    1    1    2    0.5645   18.0080
    1    1    2    0.5684   15.7828
    1    1    2    0.5723   21.3693
    1    1    2    0.5762   20.5017
    1    1    2    0.5801   14.5867
    1    1    2    0.5840    9.5757
    1    1    2    0.5879    4.0881
    1    1    2    0.5918   11.0810
    1    1    2    0.5957   11.6109
    1    1    2    0.5996    9.5219
    1    1    2    0.6035   13.5321
    1    1    2    0.6074   10.3405
    1    1    2    0.6113   12.3898
    1    1    2    0.6152    8.6751
    1    1    2    0.6191   13.4952
    1    1    2    0.6230   11.2124
    1    1    2    0.6270    9.2844
    1    1    2    0.6309   20.0089
    1    1    2    0.6348   17.5833
    1    1    2    0.6387   13.8119
    1    1    2    0.6426   14.6580
    1    1    2    0.6465   15.8114
    1    1    2    0.6504   13.1927
    1    1    2    0.6543   21.3586
    1    1    2    0.6582   18.7342
    1    1    2    0.6621   15.9427
    1    1    2    0.6660   18.6571
    1    1    2    0.6699   20.0732
    1    1    2    0.6738   14.9589
    1    1    2    0.6777   21.9392
    1    1    2    0.6816   16.1790
    1    1    2    0.6855   17.6784
    1    1    2    0.6895   17.3860
    1    1    2    0.6934   18.9815
    1    1    2    0.6973   12.8175
    1    1    2    0.7012   16.0708
    1    1    2    0.7051   13.1461
    1    1    2    0.7090   16.5140
    1    1    2    0.7129   15.0995
    1    1    2    0.7168   11.5920
    1    1    2    0.7207   14.8704
    1    1    2    0.7246    9.3124
    1    1    2    0.7285    7.8373
    1    1    2    0.7324    5.6822
    1    1    2    0.7363    4.1688
    1    1    2    0.7402    3.1511
    1    1    2    0.7441    6.7905
    1    1    2    0.7480    0.5316
    1    1    2    0.7520   -2.5604
    1    1    2    0.7559   -3.8863
    1    1    2    0.7598   -4.5938
    1    1    2    0.7637    1.4947
    1    1    2    0.7676    2.0916
    1    1    2    0.7715   -1.7210
    1    1    2    0.7754   -0.2550
    1    1    2    0.7793   -6.8844
    1    1    2    0.7832   -7.9983
    1    1    2    0.7871   -4.3506
    1    1    2    0.7910   -6.9181
    1    1    2    0.7949   -8.9626
    1    1    2    0.7988   -2.9192
    1    1    2    0.8027   -4.8335
    1    1    2    0.8066   -2.8858
    1    1    2    0.8105   -3.9356
    1    1    2    0.8145   -7.4035
    1    1    2    0.8184   -6.9614
    1    1    2    0.8223   -1.0341
    1    1    2    0.8262   -4.4042
    1    1    2    0.8301   -6.1745
    1    1    2    0.8340   -2.4289
    1    1    2    0.8379   -4.8232
    1    1    2    0.8418   -6.3453
    1    1    2    0.8457   -2.5739
    1    1    2    0.8496    4.6258
    1    1    2    0.8535    2.9833
    1    1    2    0.8574    4.2817
    1    1    2    0.8613    3.0183
    1    1    2    0.8652    3.0704
    1    1    2    0.8691    5.0437
    1    1    2    0.8730    3.6807
    1    1    2    0.8770    2.9303
    1    1    2    0.8809   -0.0888
    1    1    2    0.8848    5.5709
    1    1    2    0.8887   -1.3625
    1    1    2    0.8926   -0.9620
    1    1    2    0.8965    4.5511
    1    1    2    0.9004    4.2059
    1    1    2    0.9043    2.5787
    1    1    2    0.9082    7.0707
    1    1    2    0.9121    3.7653
    1    1    2    0.9160    5.8457
    1    1    2    0.9199    2.7631
    1    1    2    0.9238   -0.4308
    1    1    2    0.9277    3.1614
    1    1    2    0.9316   -5.6328
    1    1    2    0.9355    1.3598
    1    1    2    0.9395   -0.3757
    1    1    2    0.9434   -3.4585
    1    1    2    0.9473   -1.4948
    1    1    2    0.9512    4.2814
    1    1    2    0.9551    2.9656
    1    1    2    0.9590    7.4322
    1    1    2    0.9629    4.2972
    1    1    2    0.9668   -1.2582
    1    1    2    0.9707   -2.8693
    1    1    2    0.9746    0.6992
    1    1    2    0.9785    0.0467
    1    1    2    0.9824    3.6122
    1    1    2    0.9863    1.5223
    1    1    2    0.9902   -3.7402
    1    1    2    0.9941    3.4639
    1    1    2    0.9980    3.8726
    1    1    3    0.0020    9.4787
    1    1    3    0.0059   12.9064
    1    1    3    0.0098    7.0736
    1    1    3    0.0137   13.7458
    1    1    3    0.0176   14.3740
    1    1    3    0.0215   16.3158
    1    1    3    0.0254   21.8432
    1    1    3    0.0293   19.1409
    1    1    3    0.0332   23.3096
    1    1    3    0.0371   17.1269
    1    1    3    0.0410   22.4702
    1    1    3    0.0449   24.1667
    1    1    3    0.0488   19.6358
    1    1    3    0.0527   16.0922
    1    1    3    0.0566   21.9634
    1    1    3    0.0605   21.5342
    1    1    3    0.0645   21.7599
    1    1    3    0.0684   20.0606
    1    1    3    0.0723   17.9764
    1    1    3    0.0762   18.5855
    1    1    3    0.0801   18.2785
    1    1    3    0.0840   15.8274
    1    1    3    0.0879   10.6290
    1    1    3    0.0918   11.0618
    1    1    3    0.0957   11.4378
    1    1    3    0.0996    8.0967
    1    1    3    0.1035    8.4769
    1    1    3    0.1074   14.2072
    1    1    3    0.1113   10.7364
    1    1    3    0.1152   10.7455
    1    1    3    0.1191   10.0247
    1    1    3    0.1230    7.0918
    1    1    3    0.1270   12.8213
    1    1    3    0.1309   12.1885
    1    1    3    0.1348   13.3896
    1    1    3    0.1387    8.6962
    1    1    3    0.1426   10.1405
    1    1    3    0.1465   11.5003
    1    1    3    0.1504   16.1392
    1    1    3    0.1543   11.7841
    1    1    3    0.1582   15.7686
    1    1    3    0.1621   11.7712
    1    1    3    0.1660   14.9934
    1    1    3    0.1699   15.7938
    1    1    3    0.1738   14.9426
    1    1    3    0.1777   14.4277
    1    1    3    0.1816   14.8566
    1    1    3    0.1855   14.5487
    1    1    3    0.1895   15.7264
    1    1    3    0.1934   17.6049
    1    1    3    0.1973   19.6670
    1    1    3    0.2012   14.2659
    1    1    3    0.2051   15.4003
    1    1    3    0.2090   17.6448
    1    1    3    0.2129   14.6047
    1    1    3    0.2168   20.9093
    1    1    3    0.2207   13.5610
    1    1    3    0.2246   18.3770
    1    1    3    0.2285   11.9250
    1    1    3    0.2324   14.9344
    1    1    3    0.2363   12.0551
    1    1    3    0.2402   14.7913
    1    1    3    0.2441   11.4260
    1    1    3    0.2480   14.8060
    1    1    3    0.2520   10.7677
    1    1    3    0.2559   17.0155
    1    1    3    0.2598   12.0360
    1    1    3    0.2637   11.4573
    1    1    3    0.2676    9.2221
    1    1    3    0.2715    6.6423
    1    1    3    0.2754    9.5428
    1    1    3    0.2793    5.6909
    1    1    3    0.2832   11.7217
    1    1    3    0.2871    6.4044
    1    1    3    0.2910    4.1046
    1    1    3    0.2949    8.3696
    1    1    3    0.2988    6.5372
    1    1    3    0.3027    4.5613
    1    1    3    0.3066    9.3900
    1    1    3    0.3105    6.0129
    1    1    3    0.3145    5.6345
    1    1    3    0.3184    6.6017
    1    1    3    0.3223    4.5228
    1    1    3    0.3262    0.9704
    1    1    3    0.3301    1.6091
    1    1    3    0.3340    2.3050
    1    1    3    0.3379    1.8733
    1    1    3    0.3418    2.5516
    1    1    3    0.3457    4.5047
    1    1    3    0.3496   -1.5817
    1    1    3    0.3535    0.1254
    1    1    3    0.3574   -2.3878
    1    1    3    0.3613   -1.4836
    1    1    3    0.3652   -0.0838
    1    1    3    0.3691    2.6329
    1    1    3    0.3730   -3.9845
    1    1    3    0.3770   -0.1428
    1    1    3    0.3809   -0.0192
    1    1    3    0.3848   -0.4230
    1    1    3    0.3887   -0.7225
    1    1    3    0.3926   -1.8458
    1    1    3    0.3965   -4.2021
    1    1    3    0.4004   -4.3970
    1    1    3    0.4043    0.8260
    1    1    3    0.4082   -4.0421
    1    1    3    0.4121   -8.3668
    1    1    3    0.4160   -8.2056
    1    1    3    0.4199    1.8699
    1    1    3    0.4238    1.5996
    1    1    3    0.4277   -5.5278
    1    1    3    0.4316   -0.8917
    1    1    3    0.4355   -2.0232
    1    1    3    0.4395   -2.1220
    1    1    3    0.4434   -1.2543
    1    1    3    0.4473    2.5493
    1    1    3    0.4512   -0.2421
    1    1    3    0.4551    2.2945
    1    1    3    0.4590   -5.2142
    1    1    3    0.4629   -3.6195
    1    1    3    0.4668    0.1245
    1    1    3    0.4707    0.4146
    1    1    3    0.4746    0.4583
    1    1    3    0.4785    3.8342
    1    1    3    0.4824    2.0524
    1    1    3    0.4863   -0.1223
    1    1    3    0.4902    4.8105
    1    1    3    0.4941   -0.3116
    1    1    3    0.4980    4.1334
    1    1    3    0.5020    0.4764
    1    1    3    0.5059    7.0654
    1    1    3    0.5098    2.6356
    1    1    3    0.5137    3.3408
    1    1    3    0.5176   -3.7583
    1    1    3    0.5215    5.4314
    1    1    3    0.5254    1.1331
    1    1    3    0.5293    1.6865
    1    1    3    0.5332    7.4582
    1    1    3    0.5371    4.8228
    1    1    3    0.5410   -2.1555
    1    1    3    0.5449    5.2328
    1    1    3    0.5488    3.0939
    1    1    3    0.5527   -0.4410
    1    1    3    0.5566   -0.0427
    1    1    3    0.5605    2.1825
    1    1    3    0.5645    1.3612
    1    1    3    0.5684    2.7686
    1    1    3    0.5723    5.9166
    1    1    3    0.5762    2.6400
    1    1    3    0.5801    7.9552
    1    1    3    0.5840    2.8271
    1    1    3    0.5879    9.5388
    1    1    3    0.5918    8.4004
    1    1    3    0.5957    1.4702
    1    1    3    0.5996    2.9618
    1    1    3    0.6035    6.9480
    1    1    3    0.6074    9.0191
    1    1    3    0.6113   16.5902
    1    1    3    0.6152   13.7770
    1    1    3    0.6191   12.7585
    1    1    3    0.6230   14.7667
    1    1    3    0.6270   16.2546
    1    1    3    0.6309   18.6422
    1    1    3    0.6348   17.0777
    1    1    3    0.6387   20.3868
    1    1    3    0.6426   20.6154
    1    1    3    0.6465   19.0620
    1    1    3    0.6504   18.4612
    1    1    3    0.6543   23.7083
    1    1    3    0.6582   22.8727
    1    1    3    0.6621   21.3964
    1    1    3    0.6660   21.7271
    1    1    3    0.6699   21.1633
    1    1    3    0.6738   25.2545
    1    1    3    0.6777   22.3811
    1    1    3    0.6816   21.1482
    1    1    3    0.6855   22.2600
    1    1    3    0.6895   24.2567
    1    1    3    0.6934   16.9984
    1    1    3    0.6973   17.6244
    1    1    3    0.7012   13.5644
    1    1    3    0.7051    9.6417
    1    1    3    0.7090   17.7903
    1    1    3    0.7129   12.8979
    1    1    3    0.7168    6.4382
    1    1    3    0.7207    7.2471
    1    1    3    0.7246    6.2190
    1    1    3    0.7285   10.3027
    1    1    3    0.7324    5.4074
    1    1    3    0.7363    3.8169
    1    1    3    0.7402    5.8699
    1    1    3    0.7441    8.5938
    1    1    3    0.7480    0.1809
    1    1    3    0.7520    1.2759
    1    1    3    0.7559    1.7753
    1    1    3    0.7598    1.4729
    1    1    3    0.7637    2.6199
    1    1    3    0.7676   -0.3932
    1    1    3    0.7715    1.0336
    1    1    3    0.7754   -1.8867
    1    1    3    0.7793   -4.2310
    1    1    3    0.7832    0.4300
    1    1    3    0.7871    1.9405
    1    1    3    0.7910    0.6469
    1    1    3    0.7949    0.2832
    1    1    3    0.7988    5.6045
    1    1    3    0.8027   -4.1313
    1    1    3    0.8066   -1.6142
    1    1    3    0.8105   -4.0642
    1    1    3    0.8145    1.9918
    1    1    3    0.8184   -2.1665
    1    1    3    0.8223   -0.0787
    1    1    3    0.8262    3.6678
    1    1    3    0.8301    2.4526
    1    1    3    0.8340    1.1673
    1    1    3    0.8379   -2.3877
    1    1    3    0.8418    1.9424
    1    1    3    0.8457    5.2051
    1    1    3    0.8496    1.5547
    1    1    3    0.8535    4.1111
    1    1    3    0.8574    3.7272
    1    1    3    0.8613    1.7499
    1    1    3    0.8652    1.9575
    1    1    3    0.8691    1.7031
    1    1    3    0.8730    1.5020
    1    1    3    0.8770    6.1840
    1    1    3    0.8809    6.8322
    1    1    3    0.8848    7.6677
    1    1    3    0.8887    5.4787
    1    1    3    0.8926    0.7866
    1    1    3    0.8965   -0.0551
    1    1    3    0.9004    6.6486
    1    1    3    0.9043    1.9710
    1    1    3    0.9082    3.3705
    1    1    3    0.9121    4.3152
    1    1    3    0.9160   -1.9552
    1    1    3    0.9199    1.7972
    1    1    3    0.9238    1.4047
    1    1    3    0.9277    3.4988
    1    1    3    0.9316    6.4989
    1    1    3    0.9355    4.1048
    1    1    3    0.9395   -0.1613
    1    1    3    0.9434   -1.2496
    1    1    3    0.9473   -0.1744
    1    1    3    0.9512    2.2067
    1    1    3    0.9551   -0.6588
    1    1    3    0.9590   -2.5041
    1    1    3    0.9629    2.0250
    1    1    3    0.9668    1.7830
    1    1    3    0.9707    9.2915
    1    1    3    0.9746    5.4770
    1    1    3    0.9785    3.6785
    1    1    3    0.9824    2.5653
    1    1    3    0.9863    1.4688
    1    1    3    0.9902    6.2513
    1    1    3    0.9941    2.4956
    1    1    3    0.9980    2.7975
    1    1    4    0.0020    4.6338
    1    1    4    0.0059   10.4768
    1    1    4    0.0098   13.8549
    1    1    4    0.0137   10.5366
    1    1    4    0.0176   11.9034
    1    1    4    0.0215   12.8087
    1    1    4    0.0254   11.6005
    1    1    4    0.0293   16.8311
    1    1    4    0.0332   12.6707
    1    1    4    0.0371   14.4938
    1    1    4    0.0410   14.8272
    1    1    4    0.0449   22.1173
    1    1    4    0.0488   15.5909
    1    1    4    0.0527   21.6942
    1    1    4    0.0566   18.6117
    1    1    4    0.0605   19.3101
    1    1    4    0.0645   18.0144
    1    1    4    0.0684   15.0339
    1    1    4    0.0723   23.6998
    1    1    4    0.0762   16.3733
    1    1    4    0.0801   10.6090
    1    1    4    0.0840   11.5229
    1    1    4    0.0879   14.2981
    1    1    4    0.0918   15.3735
    1    1    4    0.0957    9.4644
    1    1    4    0.0996   10.8471
    1    1    4    0.1035    7.6429
    1    1    4    0.1074   11.4863
    1    1    4    0.1113    7.6170
    1    1    4    0.1152    9.3851
    1    1    4    0.1191    4.2811
    1    1    4    0.1230   11.7654
    1    1    4    0.1270   10.9183
    1    1    4    0.1309   10.1555
    1    1    4    0.1348   10.2234
    1    1    4    0.1387   14.8407
    1    1    4    0.1426    9.2435
    1    1    4    0.1465   12.6369
    1    1    4    0.1504   11.8594
    1    1    4    0.1543    7.2846
    1    1    4    0.1582    9.9550
    1    1    4    0.1621    6.8285
    1    1    4    0.1660   14.4503
    1    1    4    0.1699   14.5056
